"機関コード","機関種別","機関名","郵便番号","電話番号","機関所在地","ホームページ","経営主体"
"0110111887","特定健診","地方職員共済組合北海道支部北海道庁診療所","060-8588","011-204-5048","北海道札幌市中央区北３条西６","","診療所　その他の公的"
"0110112885","特定健診","中川胃腸科クリニック","060-0051","011-271-1625","北海道札幌市中央区南１条東１丁目大通バスターミナルビル","http://","診療所　個人"
"0110113420","特定健診","社会医療法人鳩仁会　札幌中央病院","064-0809","011-513-0111","北海道札幌市中央区南九条西１０－１－５０","http://www.sc-h.or.jp/","病院　医療法人"
"0110113685","特定健診・指導","医療法人社団北海道恵愛会札幌南一条病院","060-0061","011-271-3711","北海道札幌市中央区南一条西１３－３１７－１","http://www.h-keiaikai.or.jp/minamiichijo/","病院　医療法人"
"0110113719","特定健診・指導","ＮＴＴ東日本札幌病院","060-0061","011-623-7520","北海道札幌市中央区南一条西１５－２９０","http://www.ntt-east.co.jp/smc/","病院　その他の法人"
"0110113982","特定健診","医療法人社団正心会岡本病院","060-0007","011-611-2351","北海道札幌市中央区北七条西２６－３－１","http://www.okamoto-hp.com","病院　医療法人"
"0110114360","特定健診・指導","医療法人社団明日佳札幌明日佳病院","064-0951","011-641-8813","北海道札幌市中央区宮の森一条１７－１－２５","http://www.koujinkai-hp.or.jp","病院　医療法人"
"0110114386","特定健診・指導","ＪＲ札幌病院","060-0033","011-208-7150","北海道札幌市中央区北三条東１－１","","病院　その他の法人"
"0110114634","特定健診・指導","社会医療法人北海道循環器病院","064-8622","011-563-3911","北海道札幌市中央区南２７条西１３－１－３０","http://kenshin-db.niph.go.jp/kenshin/","病院　医療法人"
"0110114790","特定健診・指導","社会医療法人医仁会中村記念病院","060-8570","011-231-8555","北海道札幌市中央区南１条西１４－２９１","http://www.nmh.or.jp/","病院　医療法人"
"0110114865","特定健診","医療法人社団いとう整形外科病院","060-0062","011-241-5461","北海道札幌市中央区南二条西１０－５","http://www.ito-seikei.or.jp/","病院　医療法人"
"0110114923","特定健診","医療法人社団モリタ内科胃腸科クリニック","060-0061","011-222-6667","北海道札幌市中央区南一条西４－５　大手町ビル６階","http://www.myclinic.ne.jp/morita_naika/pc/","診療所　医療法人"
"0110115003","特定健診","医療法人社団今井内科小児科医院","064-0811","011-561-3627","北海道札幌市中央区南十一条西１８－１－２５","","診療所　医療法人"
"0110115060","特定健診","医療法人社団岡本内科クリニック","060-0042","011-231-3378","北海道札幌市中央区大通西７－２","","診療所　医療法人"
"0110115110","特定健診","医療法人社団若浜医院","064-0807","011-561-6767","北海道札幌市中央区南七条西１７－１－５","","診療所　医療法人"
"0110115235","特定健診","ほしい小児科・整形外科","064-0804","011-561-2132","北海道札幌市中央区南四条西１６－１－２８","http://www.hoshiiseikei.com","診療所　個人"
"0110115813","特定健診","医療法人萬田記念病院","060-0062","011-231-4032","北海道札幌市中央区南二条西１－１","http://manda-hp@manda.or.jp","病院　医療法人"
"0110116027","特定健診・指導","医療法人社団旭山内科クリニック","064-0808","011-552-3666","北海道札幌市中央区南八条西２４－２－１１","http://asahiyamanaika.jp","診療所　医療法人"
"0110116118","特定健診","医療法人社団北辰クリニック壱九八札幌","064-0919","011-512-1216","北海道札幌市中央区南十九条西８－２－３８","http://www.clinic198sapporo.or.jp/","診療所　医療法人"
"0110116191","特定健診","医療法人社団ちかま胃腸科・内科クリニック","060-0002","011-222-3807","北海道札幌市中央区北二条西３　朝日生命札幌ビル６階","http://www11.ocn.ne.jp/~chikama/naishikyou/index.html","診療所　医療法人"
"0110116209","特定健診・指導","エルム内科循環器クリニック","060-0004","011-205-6035","札幌市中央区北４条西５丁目１番地アスティ４５ビル６階","http://","診療所　個人"
"0110116233","特定健診","医療法人社団水島内科・胃腸内科クリニック","060-0004","011-205-6030","北海道札幌市中央区北四条西５　アスティ４５ビル６Ｆ","http://mizushima-git.jp","診療所　医療法人"
"0110116258","特定健診・指導","北海道厚生農業協同組合連合会札幌厚生病院","060-0033","011-261-5331","北海道札幌市中央区北三条東８－５","http://www.ja-hokkaidoukouseiren.or.jp/","病院　その他の公的"
"0110116340","特定健診","医療法人社団はせ小児科クリニック","064-0914","011-532-5151","北海道札幌市中央区南十四条西１８－４－３","","診療所　医療法人"
"0110116415","特定健診・指導","医療法人社団中野整形外科医院","064-0807","011-561-0224","北海道札幌市中央区南７条西１５丁目１番３５号","http://www.nakano-seikei.com","診療所　医療法人"
"0110116514","特定健診・指導","医療法人讃生会宮の森記念病院","064-8570","011-641-6641","北海道札幌市中央区宮の森３条７－５－２５","http://www.niph.go.jp","病院　医療法人"
"0110116563","特定健診","医療法人社団きむら小児科医院","064-0921","011-513-2220","北海道札幌市中央区南二十一条西１３－２－３","","診療所　医療法人"
"0110116589","特定健診","医療法人社団ＣＨＣＰ桑園中央病院","060-0008","011-621-1023","北海道札幌市中央区北八条西１６－２８－３５","http://www.sch-hsupital.com/index.html","病院　医療法人"
