entry_name,item_no,item_code,item_name,timing_group,support_type,requirement_symbol,requirement_meaning,data_type,xml_data_type,act_mood_code,observation_class_code,observation_mood_code,xml_unit,code_table_oid,note
指導共通情報,1101,1020000001,保健指導区分,first_claim,motivational,○,必須入力項目,コード,CD,EVN,OBS,EVN,,1.2.392.200119.6.1112,"1:積極的支援 2:動機付け支援 3:動機付け支援相当"
指導共通情報,1101,1020000001,保健指導区分,first_claim,active,○,必須入力項目,コード,CD,EVN,OBS,EVN,,1.2.392.200119.6.1112,"1:積極的支援 2:動機付け支援 3:動機付け支援相当"
指導共通情報,1101,1020000001,保健指導区分,first_claim,motivational_equivalent,○,必須入力項目,コード,CD,EVN,OBS,EVN,,1.2.392.200119.6.1112,"1:積極的支援 2:動機付け支援 3:動機付け支援相当"
指導共通情報,1101,1020000001,保健指導区分,legal_report,motivational,○,必須入力項目,コード,CD,EVN,OBS,EVN,,1.2.392.200119.6.1112,"1:積極的支援 2:動機付け支援 3:動機付け支援相当"
指導共通情報,1101,1020000001,保健指導区分,legal_report,active,○,必須入力項目,コード,CD,EVN,OBS,EVN,,1.2.392.200119.6.1112,"1:積極的支援 2:動機付け支援 3:動機付け支援相当"
指導共通情報,1101,1020000001,保健指導区分,legal_report,motivational_equivalent,○,必須入力項目,コード,CD,EVN,OBS,EVN,,1.2.392.200119.6.1112,"1:積極的支援 2:動機付け支援 3:動機付け支援相当"
指導共通情報,1102,1020000002,行動変容ステージ,first_claim,motivational,△,情報を入手した場合に入力,コード,CD,EVN,OBS,EVN,,1.2.392.200119.6.3002,"1:意志なし 2:意志あり(6ヶ月以内) 3:意志あり(近いうち) 4:取組済み(6ヶ月未満) 5:取組済み(6ヶ月以上)"
指導共通情報,1102,1020000002,行動変容ステージ,first_claim,active,△,情報を入手した場合に入力,コード,CD,EVN,OBS,EVN,,1.2.392.200119.6.3002,"1:意志なし 2:意志あり(6ヶ月以内) 3:意志あり(近いうち) 4:取組済み(6ヶ月未満) 5:取組済み(6ヶ月以上)"
指導共通情報,1102,1020000002,行動変容ステージ,first_claim,motivational_equivalent,△,情報を入手した場合に入力,コード,CD,EVN,OBS,EVN,,1.2.392.200119.6.3002,"1:意志なし 2:意志あり(6ヶ月以内) 3:意志あり(近いうち) 4:取組済み(6ヶ月未満) 5:取組済み(6ヶ月以上)"
指導共通情報,1102,1020000002,行動変容ステージ,legal_report,motivational,△,情報を入手した場合に入力,コード,CD,EVN,OBS,EVN,,1.2.392.200119.6.3002,"1:意志なし 2:意志あり(6ヶ月以内) 3:意志あり(近いうち) 4:取組済み(6ヶ月未満) 5:取組済み(6ヶ月以上)"
指導共通情報,1102,1020000002,行動変容ステージ,legal_report,active,△,情報を入手した場合に入力,コード,CD,EVN,OBS,EVN,,1.2.392.200119.6.3002,"1:意志なし 2:意志あり(6ヶ月以内) 3:意志あり(近いうち) 4:取組済み(6ヶ月未満) 5:取組済み(6ヶ月以上)"
指導共通情報,1102,1020000002,行動変容ステージ,legal_report,motivational_equivalent,△,情報を入手した場合に入力,コード,CD,EVN,OBS,EVN,,1.2.392.200119.6.3002,"1:意志なし 2:意志あり(6ヶ月以内) 3:意志あり(近いうち) 4:取組済み(6ヶ月未満) 5:取組済み(6ヶ月以上)"
指導共通情報,1103,1020000003,保健指導コース名,first_claim,motivational,☆,少なくとも保険者が委託により実施した場合は必須入力項目,漢字,ST,EVN,OBS,EVN,,,漢字32文字以内・64バイト以内
指導共通情報,1103,1020000003,保健指導コース名,first_claim,active,☆,少なくとも保険者が委託により実施した場合は必須入力項目,漢字,ST,EVN,OBS,EVN,,,漢字32文字以内・64バイト以内
指導共通情報,1103,1020000003,保健指導コース名,first_claim,motivational_equivalent,☆,少なくとも保険者が委託により実施した場合は必須入力項目,漢字,ST,EVN,OBS,EVN,,,漢字32文字以内・64バイト以内
