項目名,項目コード（17桁）,項目コードOID,表示用単位,XML用単位,XMLデータ型,結果コードOID,検査方法,区分名称,データタイプ,XML検査方法コード,XPathテンプレ,値の取得方法,nullFlavor許容,重要度,重要度グループ,備考,更新種別,更新理由,最終更新日
20歳からの体重変化,9N741000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2003,,質問票,コード,,//cda:observation[ cda:code/@code='9N741000000000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
30分以上の運動習慣,9N746000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2003,,質問票,コード,,//cda:observation[ cda:code/@code='9N746000000000011' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@code,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
A/G,3A016000002327102,1.2.392.200119.6.1005,,,PQ,,,生化学検査,数字,,,,,,,,変更なし,,2025-08-20
ALP,3B070000002327101,1.2.392.200119.6.1005,U/l,U/L,PQ,,1：可視吸光光度法(JSCC標準化対応法),生化学検査,数字,3B07010000,,,,,,,変更なし,,2025-08-20
ALP,3B070000002327501,1.2.392.200119.6.1005,U/l,U/L,PQ,,2：IFCC対応法(改定JSCC標準化対応法),生化学検査,数字,3B07020000,,,,,,,変更なし,,2025-08-20
ALP,3B070000002399901,1.2.392.200119.6.1005,U/l,U/L,PQ,,3：その他,生化学検査,数字,3B07030009,,,,,,,変更なし,,2025-08-20
ALT(GPT),3B045000002327201,1.2.392.200119.6.1005,U/l,U/L,PQ,,1：紫外吸光光度法(JSCC標準化対応法),生化学検査,数字,3B04510000,//cda:observation[ cda:code/@code='3B045000002327201' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
ALT(GPT),3B045000002399901,1.2.392.200119.6.1005,U/l,U/L,PQ,,2：その他,生化学検査,数字,3B04520009,,,,,,,変更なし,,2025-08-20
AST(GOT),3B035000002327201,1.2.392.200119.6.1005,U/l,U/L,PQ,,1：紫外吸光光度法(JSCC標準化対応法),生化学検査,数字,3B03510000,//cda:observation[ cda:code/@code='3B035000002327201' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,,,,更新,"差分: 値の取得方法,XPathテンプレ",2025-08-20
AST(GOT),3B035000002399901,1.2.392.200119.6.1005,U/l,U/L,PQ,,2：その他,生化学検査,数字,3B03520009,,,,,,,変更なし,,2025-08-20
BMI,9N011000000000001,1.2.392.200119.6.1005,kg/m2,kg/m2,PQ,,,身体計測,数字,,//cda:observation[ cda:code/@code='9N011000000000001' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,推奨,,,変更なし,,2025-08-20
CRP,5C070000002306201,1.2.392.200119.6.1005,mg/dl,mg/dL,PQ,,1：可視吸光光度法(ラテックス凝集比濁法),その他医療保険者等が任意に行う検査,数字,5C07010000,,,,,,,変更なし,,2025-08-20
CRP,5C070000002306301,1.2.392.200119.6.1005,mg/dl,mg/dL,PQ,,2：可視吸光光度法(免役比濁法),その他医療保険者等が任意に行う検査,数字,5C07020000,,,,,,,変更なし,,2025-08-20
CRP,5C070000002399901,1.2.392.200119.6.1005,mg/dl,mg/dL,PQ,,3：その他,その他医療保険者等が任意に行う検査,数字,5C07030009,,,,,,,変更なし,,2025-08-20
C型肝炎ウイルス検診の判定,9N401000000000011,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2150,,その他医療保険者等が任意に行う検査,コード,,,,,,,,変更なし,,2025-08-20
HBs抗原,5F016141002399811,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2100,方法問わず,その他医療保険者等が任意に行う検査,コード,,,,,,,,変更なし,,2025-08-20
HCV抗体,5F360149502399811,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2100,方法問わず,その他医療保険者等が任意に行う検査,コード,,,,,,,,変更なし,,2025-08-20
HCV抗体(力価),5F360149702399811,1.2.392.200119.6.1005,,,CO,1.2.392.200119.6.2103,方法問わず,その他医療保険者等が任意に行う検査,コード,,,,,,,,変更なし,,2025-08-20
HCV抗原検査,5F360150002399811,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2100,方法問わず,その他医療保険者等が任意に行う検査,コード,,,,,,,,変更なし,,2025-08-20
HCV核酸増幅検査,5F360145002399811,1.2.392.200119.6.1005,,,CD,1.2.392.200119.6.2100,方法問わず,その他医療保険者等が任意に行う検査,コード,,,,,,,,変更なし,,2025-08-20
HDLコレステロール,3F070000002327101,1.2.392.200119.6.1005,mg/dl,mg/dL,PQ,,1：可視吸光光度法(直接法(非沈殿法)),生化学検査,数字,3F07010000,//cda:observation[ cda:code/@code='3F070000002327101' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,必須,,,更新,"差分: 表示用単位,検査方法",2025-08-20
HDLコレステロール,3F070000002327201,1.2.392.200119.6.1005,mg/dl,mg/dL,PQ,,2：紫外吸光光度法(直接法(非沈殿法)),生化学検査,数字,3F07020000,//cda:observation[ cda:code/@code='3F070000002327201' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,必須,,,更新,"差分: XML検査方法コード,値の取得方法,XPathテンプレ",2025-08-20
HDLコレステロール,3F070000002399901,1.2.392.200119.6.1005,mg/dl,mg/dL,PQ,,3：その他,生化学検査,数字,3F07030009,//cda:observation[ cda:code/@code='3F070000002399901' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,必須,,,更新,"差分: XML検査方法コード,値の取得方法,XPathテンプレ",2025-08-20
HbA1c(NGSP値),3D046000001906202,1.2.392.200119.6.1005,%,%,PQ,,1：免疫学的方法(ラテックス凝集比濁法等),血糖検査,数字,3D04610000,//cda:observation[ cda:code/@code='3D046000001906202' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,必須,,,更新,"差分: XML検査方法コード,値の取得方法,XPathテンプレ",2025-08-20
HbA1c(NGSP値),3D046000001920402,1.2.392.200119.6.1005,%,%,PQ,,2：HPLC(不安定分画除去HPLC法),血糖検査,数字,3D04620000,//cda:observation[ cda:code/@code='3D046000001920402' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,必須,,,変更なし,,2025-08-20
HbA1c(NGSP値),3D046000001927102,1.2.392.200119.6.1005,%,%,PQ,,3：酵素法,血糖検査,数字,3D04630000,//cda:observation[ cda:code/@code='3D046000001927102' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,必須,,,更新,"差分: XML検査方法コード,値の取得方法,XPathテンプレ",2025-08-20
HbA1c(NGSP値),3D046000001999902,1.2.392.200119.6.1005,%,%,PQ,,4：その他,血糖検査,数字,3D04640009,//cda:observation[ cda:code/@code='3D046000001999902' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,必須,,,更新,"差分: XML検査方法コード,値の取得方法,XPathテンプレ",2025-08-20
LD,3B050000002327201,1.2.392.200119.6.1005,U/l,U/L,PQ,,1：可視吸光光度法(JSCC標準化対応法),生化学検査,数字,3B05010000,,,,,,,変更なし,,2025-08-20
LD,3B050000002327901,1.2.392.200119.6.1005,U/l,U/L,PQ,,2：IFCC対応法(改定JSCC標準化対応法),生化学検査,数字,3B05020000,,,,,,,変更なし,,2025-08-20
LD,3B050000002399901,1.2.392.200119.6.1005,U/l,U/L,PQ,,3：その他,生化学検査,数字,3B05030009,,,,,,,変更なし,,2025-08-20
LDLコレステロール,3F077000002327101,1.2.392.200119.6.1005,mg/dl,mg/dL,PQ,,1：可視吸光光度法(直接法(非沈殿法)),生化学検査,数字,3F07710000,//cda:observation[ cda:code/@code='3F077000002327101' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,必須,,,更新,"差分: 表示用単位,検査方法",2025-08-20
LDLコレステロール,3F077000002327201,1.2.392.200119.6.1005,mg/dl,mg/dL,PQ,,2：紫外吸光光度法(直接法(非沈殿法)),生化学検査,数字,3F07720000,//cda:observation[ cda:code/@code='3F077000002327201' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,必須,,,更新,"差分: XML検査方法コード,値の取得方法,XPathテンプレ",2025-08-20
LDLコレステロール,3F077000002391901,1.2.392.200119.6.1005,mg/dl,mg/dL,PQ,,4：計算法,生化学検査,数字,3F07740009,//cda:observation[ cda:code/@code='3F077000002391901' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,必須,,,更新,"差分: XML検査方法コード,値の取得方法,XPathテンプレ",2025-08-20
LDLコレステロール,3F077000002399901,1.2.392.200119.6.1005,mg/dl,mg/dL,PQ,,3：その他,生化学検査,数字,3F07730009,//cda:observation[ cda:code/@code='3F077000002399901' and cda:code/@codeSystem='1.2.392.200119.6.1005']/cda:value,@value,False,必須,,,更新,"差分: XML検査方法コード,値の取得方法,XPathテンプレ",2025-08-20
MCH,2A070000001930101,1.2.392.200119.6.1005,pg,pg,PQ,,自動血球算定装置,血液像検査,数字,,,,,,,,変更なし,,2025-08-20
MCHC,2A080000001930101,1.2.392.200119.6.1005,%,%,PQ,,自動血球算定装置,血液像検査,数字,,,,,,,,変更なし,,2025-08-20
MCV,2A060000001930101,1.2.392.200119.6.1005,ｆｌ,fl,PQ,,自動血球算定装置,血液像検査,数字,,,,,,,,変更なし,,2025-08-20
