OID_code,OID_code_value,OID_code_value_name,OID_code_display_order,OID_code_value_remarks,OID_code_value_dev_remarks,Unnamed: 6
OID,value,内容,表示順位,備考,開発コメント,エクセル用（OID-value)
f00001,h,特定健診データファイル,1,,,f00001-h
f00001,c,特定健診決済情報ファイル,2,,,f00001-c
f00001,g,特定保健指導データファイル,3,,,f00001-g
f00001,p,特定保健指導決済情報ファイル,4,,,f00001-p
f00002,1,特定健診情報,1,,,f00002-1
f00002,2,特定保健指導情報,2,,,f00002-2
1.2.392.200119.6.1001,10,特定健診情報,1,,,1.2.392.200119.6.1001-10
1.2.392.200119.6.1001,19,提出済み健診情報(閲覧用ファイル)の削除依頼,2,,,1.2.392.200119.6.1001-19
1.2.392.200119.6.1001,21,特定保健指導情報(開始時) ,3,,,1.2.392.200119.6.1001-21
1.2.392.200119.6.1001,22,特定保健指導情報(実績評価時＝集合契約の場合の最終決済時) ,4,,,1.2.392.200119.6.1001-22
1.2.392.200119.6.1001,23,特定保健指導情報(途中終了時＝利用停止等),5,,,1.2.392.200119.6.1001-23
1.2.392.200119.6.1001,24,特定保健指導情報(その他),6,,,1.2.392.200119.6.1001-24
1.2.392.200119.6.1001,25,特定保健指導情報(初回未完了),7,,,1.2.392.200119.6.1001-25
1.2.392.200119.6.1001,30,国への実施結果報告,8,,,1.2.392.200119.6.1001-30
1.2.392.200119.6.1001,40,特定健診以外の健診結果を送付,9,,,1.2.392.200119.6.1001-40
1.2.392.200119.6.1001,41,事業者健診,10,,,1.2.392.200119.6.1001-41
1.2.392.200119.6.1001,42,自治体検診,11,,,1.2.392.200119.6.1001-42
1.2.392.200119.6.1001,43,乳幼児健診,12,,,1.2.392.200119.6.1001-43
1.2.392.200119.6.1001,44,妊婦健診,13,,,1.2.392.200119.6.1001-44
1.2.392.200119.6.1001,49,提出済み特定健診以外の情報(閲覧用ファイル)の削除依頼,14,,,1.2.392.200119.6.1001-49
1.2.392.200119.6.1001,90,そのほか,15,,,1.2.392.200119.6.1001-90
1.2.392.200119.6.206,1,強制被保険者,1,,,1.2.392.200119.6.206-1
1.2.392.200119.6.206,2,強制被扶養者,2,,,1.2.392.200119.6.206-2
1.2.392.200119.6.206,3,任意継続被保険者,3,,,1.2.392.200119.6.206-3
1.2.392.200119.6.206,4,任意継続被扶養者,4,,,1.2.392.200119.6.206-4
1.2.392.200119.6.206,5,特例退職被保険者,5,,,1.2.392.200119.6.206-5
1.2.392.200119.6.206,6,特例退職被扶養者,6,,,1.2.392.200119.6.206-6
1.2.392.200119.6.206,7,国保被保険者,7,,,1.2.392.200119.6.206-7
1.2.392.200119.6.1104,1,男,1,,,1.2.392.200119.6.1104-1
1.2.392.200119.6.1104,2,女,2,,,1.2.392.200119.6.1104-2
