"TABLE_SCHEMA","TABLE_NAME","COLUMN_NAME","REFERENCED_TABLE_NAME","REFERENCED_COLUMN_NAME","CONSTRAINT_NAME"
"dev_phr","etl_errors","run_id","etl_runs","run_id","fk_etl_errors_run"
"dev_phr","event_ledger","fund_id","funds","id","fk_event_fund"
"dev_phr","exam_item_group_members","group_code","exam_item_groups","group_code","fk_members_group"
"dev_phr","exam_item_group_members","namecode","exam_item_master","namecode","fk_members_item"
"dev_phr","fund_insurer_numbers","fund_id","funds","id","fk_fin_fund"
"dev_phr","fund_insurer_numbers","line_type_id","fund_line_types","id","fk_fin_line_type"
"dev_phr","staging_subscribers_fund","import_run_id","etl_runs","run_id","fk_stgfund_import_run"
"dev_phr","staging_subscribers_fund","fund_id","templates","fund_id","fk_stgfund_template"
"dev_phr","staging_subscribers_fund","template_ver","templates","version","fk_stgfund_template"
"dev_phr","staging_subscribers_hub","import_run_id","etl_runs","run_id","fk_stghub_import_run"
"dev_phr","staging_subscribers_hub","processed_run_id","etl_runs","run_id","fk_stghub_processed_run"
"dev_phr","subscriber_addresses","subscriber_id","subscribers","id","fk_addresses_subscriber"
"dev_phr","subscriber_audit","change_run_id","etl_runs","run_id","fk_audit_run"
"dev_phr","subscriber_audit","subscriber_id","subscribers","id","fk_audit_subscriber"
"dev_phr","subscriber_contacts","subscriber_id","subscribers","id","fk_contacts_subscriber"
"dev_phr","subscribers","last_change_run_id","etl_runs","run_id","fk_subscribers_last_change_run"
"dev_phr","subscribers_exclusions","subscriber_id","subscribers","id","fk_exclusions_subscriber"
"dev_phr","template_mappings","fund_id","templates","fund_id","fk_template_mappings_template"
"dev_phr","template_mappings","version","templates","version","fk_template_mappings_template"
"dev_phr","templates","fund_id","funds","id","fk_templates_fund"
"work_other","medi_exam_result_item_values","ledger_id","medi_exam_result_ledger","ledger_id","fk_item_values_ledger"
"work_other","medi_normalization_logs","xml_ledger_id","medi_xml_ledger","xml_ledger_id","fk_medi_norm_logs_ledger"
"work_other","medi_normalization_logs","run_id","medi_import_runs","run_id","fk_medi_norm_logs_run"
"work_other","medi_xml_ledger","run_id","medi_import_runs","run_id","fk_medi_xml_ledger_run"
"work_other","medi_xml_ledger","zip_receipt_id","medi_zip_receipts","zip_receipt_id","fk_medi_xml_ledger_zip"
"work_other","medi_xml_process_logs","run_id","medi_import_runs","run_id","fk_medi_xml_process_logs_run"
"work_other","medi_xml_receipt_runs","xml_receipt_id","medi_xml_receipts","xml_receipt_id","fk_medi_xml_receipt_runs_receipt"
"work_other","medi_xml_receipt_runs","run_id","medi_import_runs","run_id","fk_medi_xml_receipt_runs_run"
"work_other","medi_xml_receipts","extracted_run_id","medi_import_runs","run_id","fk_medi_xml_receipts_extracted_run"
"work_other","medi_xml_receipts","first_seen_run_id","medi_import_runs","run_id","fk_medi_xml_receipts_first_run"
"work_other","medi_xml_receipts","last_seen_run_id","medi_import_runs","run_id","fk_medi_xml_receipts_last_run"
"work_other","medi_xml_receipts","zip_sha256","medi_zip_receipts","zip_sha256","fk_medi_xml_receipts_zip_sha256"
"work_other","medi_zip_receipt_runs","run_id","medi_import_runs","run_id","fk_medi_zip_receipt_runs_run"
"work_other","medi_zip_receipt_runs","zip_receipt_id","medi_zip_receipts","zip_receipt_id","fk_medi_zip_receipt_runs_zip_receipt"
"work_other","medi_zip_receipts","run_id","medi_import_runs","run_id","fk_medi_zip_receipts_run"

